n,name,shortname,standard,verdict,filters_passed,mean,max,match.var,match,RT.var,RT,count.air,freq.air,count.floral,freq.floral,count.leaf,freq.leaf,count.ambient,freq.ambient,filter_RT,filter_match,filter_freq.floral,filter_contaminant,filter_area,filter_ambient_ratio,ambient_ratio,filter_ambient_ttest,filter_final
606,2-(2-Bromoethyl)-3-methyl-oxirane,,,,4,6111,1466582,NA,0.71,NA,16.04,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
607,2-(3-Methylguanidino)ethanol,,,,4,2376,459222,0.0002,0.73,0.12,12.01,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
608,2-(Cyanomethylamino)pentanedinitrile,,,,4,252,60479,NA,0.76,NA,5.24,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
609,2-(Dimethylaminoethyl) iminoaminomethyl sulfide,,,,5,464,111354,NA,0.84,NA,4.13,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
610,2-(Methylsulfonyl)acetophenone,,,,4,889,213299,NA,0.81,NA,18.58,0,0.000,1,0.004,0.000,0.000,0,0,High,OK,Rare,OK,Low,OK,Inf,OK,FALSE
611,2-(Oxan-3-yl)ethanamine,,,,3,4352,255064,0.0001,0.81,5.49,9.97,1,0.021,5,0.021,2.000,0.038,1,0.02127659574,OK,OK,Rare,OK,Low,AmRatioFail,2.3,tTestFail,FALSE
612,2-[(Trimethylsilyl)oxy]-2-{4-[(trimethylsilyl)oxy]phenyl}ethanamine,,,,4,1200080,17025044,0.0002,0.79,0.17,10.82,42,0.894,225,0.938,51.000,0.962,42,0.8936170213,OK,Low,OK,OK,OK,AmRatioFail,1.2,tTestFail,FALSE
613,2-[1-Nitro-2-(tetrahydro-pyran-2-yloxy)-ethyl]-cyclohexanol,,,,4,374,63193,0.0013,0.76,18.92,13.54,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
614,2-[2-[2-[2-[2-[2-[2-(2-Hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,,,,4,366,87777,NA,0.73,NA,15.72,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
615,"2-[3-(1-Hydroxy-1-methyl-ethyl)-6a,10b-dimethyl-7-methylene-dodecahydro-benzo[f]chromen-8-yl]-1-phenyl-ethanone",,,,4,501,120350,NA,0.71,NA,7.87,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
616,2-{Bicyclo[2.2.1]heptan-2-yl}-4-tert-butylphenol,,,,2,475172,11012313,0.000026,0.71,0.0020,19.39,3,0.064,20,0.083,0.000,0.000,3,0.06382978723,High,Low,Rare,OK,OK,AmRatioFail,1.9,tTestFail,FALSE
617,2-Acetoxydodecane,,,,4,654,156948,0.0032,0.77,0.56,9.76,0,0.000,1,0.004,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
618,2-Acetoxyisobutyryl chloride,,,,5,358,85906,NA,0.80,NA,9.20,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
619,2-Allylamino-4-oxo-4-p-tolyl-butyric acid,,,,4,2391,209891,0.0002,0.74,0.00,11.42,0,0.000,3,0.013,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
620,"2-Amino-3-(2,3-dibromomorpholino)naphthoquinone",,,,2,228819,3570774,0.000103,0.71,0.0000,21.89,5,0.106,29,0.121,3.000,0.057,5,0.1063829787,High,Low,OK,OK,Low,AmRatioFail,1.4,tTestFail,FALSE
621,2-Aminobiphenyl,,,,3,120,28908,NA,0.76,NA,17.25,0,0.000,1,0.004,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
622,"2-Aminomethyl-5-methylamino-1,3,4-oxadiazole",,,,4,966,126664,0.0000,0.70,0.00,11.45,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
623,"2-Benzamido-3-cyano-1,4,5-trimethylpyrrole",,,,4,305,73249,NA,0.74,NA,14.41,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
624,2-Benzoyl-8-octanelactam,,,,2,0,0,NA,0.71,NA,12.42,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
625,"2-Benzoyloxy-1,1,10-trimethyl-6,9-epidioxy-7-octalin",,,,1,8074,706298,0.000255,0.73,7.4684,19.40,1,0.021,5,0.021,1.000,0.019,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,0.4,tTestFail,FALSE
626,2-Bromo dodecane,,,,3,21293,1150087,0.0016,0.78,4.05,13.97,4,0.085,19,0.079,1.000,0.019,4,0.08510638298,OK,Low,Rare,OK,Low,OK,4.4,tTestFail,FALSE
627,2-Bromocyclododecanone,,,,3,7292,1750008,NA,0.72,NA,21.47,0,0.000,1,0.004,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
628,"2-Bromopropionic acid, 2-ethylhexyl ester",,,,4,162,38762,NA,0.76,NA,12.29,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
629,"2-Bromopropionic acid, 3-methylbutyl ester",,,,4,687,85540,0.0005,0.77,0.00,11.35,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
630,2-Bromotetradecane,,,,2,83678,3772840,0.0010,0.76,4.32,16.44,6,0.128,22,0.092,1.000,0.019,6,0.1276595745,OK,Low,Rare,OK,Low,AmRatioFail,0.6,tTestFail,FALSE
631,"2-Butanethiol, 2,3-dimethyl-",,,,3,727,174483,NA,0.77,NA,1.96,0,0.000,1,0.004,0.000,0.000,0,0,Low,Low,Rare,OK,Low,OK,Inf,OK,FALSE
632,"2-Butanol, 3-(1-methylbutoxy)-",,,,2,0,0,NA,0.71,NA,2.96,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
633,"2-Butanol, 3-(1,3-dimethylbutoxy)-",,,,4,305,61426,0.0002,0.73,22.82,7.05,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
634,"2-Butanone, 3-methyl-",,,,3,7462,322450,0.0025,0.84,0.01,2.95,3,0.064,12,0.050,1.000,0.019,3,0.06382978723,OK,OK,Rare,OK,Low,AmRatioFail,0.4,tTestFail,FALSE
635,"2-Butanone, 3-methyl-1-phenyl-",,,,2,0,0,NA,0.73,NA,10.54,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
636,"2-Butanone, 3,3-dimethyl-",,,,4,375,46369,0.0032,0.79,0.00,4.88,0,0.000,3,0.013,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
637,"2-Butanone, 4-(2,2-dimethyl-6-methylenecyclohexyl)-",,,,4,966,231955,NA,0.78,NA,15.73,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
638,"2-Butanone, 4-butoxy-3-methyl-",,,,5,2711,166401,0.0004,0.87,0.00,3.06,0,0.000,5,0.021,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
639,"2-Butanone, 4-hydroxy-3-(hydroxymethyl)-3-methyl-",,,,3,2606,154744,0.0008,0.81,0.01,2.88,1,0.021,9,0.038,0.000,0.000,1,0.02127659574,OK,OK,Rare,OK,Low,AmRatioFail,2.3,tTestFail,FALSE
640,2-Butenal,,,,3,5699,150965,0.0020,0.81,0.00,2.66,3,0.064,13,0.054,2.000,0.038,3,0.06382978723,OK,OK,Rare,OK,Low,AmRatioFail,1.1,tTestFail,FALSE
641,"2-Butenal, 2-ethenyl-",,,,5,579,83636,0.0020,0.80,0.00,3.47,0,0.000,2,0.008,1.000,0.019,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
642,"2-Butenal, 2-methyl-, (E)-",,,,3,2718,171508,0.0013,0.85,0.10,2.83,1,0.021,7,0.029,1.000,0.019,1,0.02127659574,OK,OK,Rare,OK,Low,AmRatioFail,0.6,tTestFail,FALSE
643,"2-Butenal, 3-methyl-",,,,5,74643,4828341,0.0007,0.88,0.00,4.54,1,0.021,55,0.229,3.000,0.057,1,0.02127659574,OK,OK,OK,OK,OK,AmRatioFail,2.5,tTestFail,FALSE
644,2-Butene ozonide,,,,4,330,39852,0.0000,0.77,1.81,2.46,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
645,"2-Butene, 1-bromo-",,,,5,1929,261649,0.0002,0.83,0.00,3.98,0,0.000,2,0.008,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
646,"2-Butene, 1-butoxy-3-methyl-",,,,2,0,0,NA,0.73,NA,13.37,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
647,"2-Butene, 1-propoxy-",,,,5,667,160093,NA,0.81,NA,6.93,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
648,"2-Butene, 1,4-diethoxy-",,,,4,157,37732,NA,0.72,NA,6.98,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
649,"2-Butenedioic acid (E)-, bis(2-ethylhexyl) ester",,,,4,11028,1676236,0.006050,0.855,0.0006,21.82,0,0.000,2,0.008,0.000,0.000,0,0,High,OK,Rare,OK,Low,OK,Inf,OK,FALSE
650,"2-Butenedioic acid (Z)-, monododecyl ester",,,,4,58788,6681236,0.006800,0.81,5.0768,17.74,1,0.021,10,0.042,3.000,0.057,1,0.02127659574,High,OK,Rare,OK,OK,OK,11.0,tTestFail,FALSE
651,"2-Butenedioic acid, 2-methyl-, (Z)-",,,,4,11171,192978,0.0022,0.81,0.00,7.32,9,0.191,31,0.129,8.000,0.151,9,0.1914893617,OK,OK,OK,OK,Low,AmRatioFail,0.6,tTestFail,FALSE
652,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester, (Z)-",,,,5,130,31309,0.0001,0.83,3.42,8.70,0,0.000,1,0.004,1.000,0.019,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
653,"2-Butenoic acid, 2-methyl-, ethyl ester",,,,4,164,39318,NA,0.77,NA,7.31,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
654,"2-Butenoic acid, 2-methyl-, methyl ester, (Z)-",methyl (Z)-2-methylbut-2-enoate,Hexenol,NEXP2,5,12515,466153,0.0032,0.83,0.12,5.28,2,0.043,29,0.121,1.000,0.019,2,0.04255319149,OK,OK,OK,OK,Low,OK,34.9,tTestFail,FALSE
655,"2-Butenoic acid, 3,7-dimethyl-6-octenyl ester",,,,4,1941,227706,0.0002,0.74,1.59,11.46,0,0.000,3,0.013,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
656,"2-Butenoic acid, methyl ester, (E)-",,,,5,3372,145364,0.0074,0.85,0.04,4.19,0,0.000,12,0.050,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
657,"2-Butenoic acid, methyl ester, (Z)-",,,,5,25,6097,NA,0.81,NA,5.88,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
658,2-Butenoyl chloride,,,,3,3438,127938,0.0032,0.82,0.00,3.48,3,0.064,17,0.071,2.000,0.038,3,0.06382978723,OK,OK,Rare,OK,Low,AmRatioFail,0.7,tTestFail,FALSE
659,2-Butoxyethyl isobutyl carbonate,,,,2,0,0,NA,0.75,NA,8.80,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
660,2-Butyl(dimethyl)silyloxybutane,,,,5,4392,547189,0.0002,0.80,0.00,11.20,0,0.000,2,0.008,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
661,"2-Butyloxycarbonyloxy-1,1,10-trimethyl-6,9-epidioxydecalin",,,,4,13634,1677765,0.0016,0.75,12.83,16.04,0,0.000,3,0.013,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
662,2-C14H26,,,,5,343,82202,NA,0.81,NA,11.81,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
663,2-Carene,,,,3,6492,534662,0.0028,0.75,3.79,12.01,1,0.021,6,0.025,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,OK,12.4,tTestFail,FALSE
664,2-Chloroethyl methyl ether,,,,5,1571,239815,0.0113,0.81,2.63,5.13,0,0.000,2,0.008,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
665,2-Cyclohexen-1-ol,,,,4,1178,128972,0.0002,0.73,0.00,6.92,0,0.000,4,0.017,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
666,"2-Cyclohexen-1-one, 2-methyl-",,,,4,1333,167106,0.0001,0.77,0.00,5.41,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
667,"2-Cyclohexen-1-one, 3,4-dimethyl-",,,,3,940,125838,0.0001,0.82,0.00,5.41,2,0.043,2,0.008,0.000,0.000,2,0.04255319149,OK,OK,Rare,OK,Low,AmRatioFail,0.2,tTestFail,FALSE
668,"2-Cyclohexen-1-one, 4,4-dimethyl-",,,,5,547,131347,NA,0.80,NA,5.40,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
669,"2-Cyclohexene-1-methanol, 2,6,6-trimethyl-",,,,3,18772,1132714,0.000281,0.74,12.4319,22.29,0,0.000,6,0.025,1.000,0.019,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
670,2-Cyclopenten-1-one,,,,2,4867,285855,0.0016,0.79,0.00,5.39,5,0.106,18,0.075,8.000,0.151,5,0.1063829787,OK,Low,Rare,OK,Low,AmRatioFail,2.3,tTestFail,FALSE
671,"2-Cyclopenten-1-one, 2-(2-butenyl)-3-methyl-, (Z)-",,,,5,1155,156808,0.0013,0.81,0.00,11.31,0,0.000,2,0.008,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
672,"2-Cyclopenten-1-one, 2-methyl-",,,,4,240,57647,NA,0.76,NA,6.73,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
673,"2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-",,,,5,480,76979,0.0025,0.84,0.00,10.38,0,0.000,2,0.008,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
674,"2-Cyclopenten-1-one, 3-methyl-",,,,4,1877,172024,0.0021,0.76,3.39,7.75,0,0.000,7,0.029,3.000,0.057,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
675,2-Cyclopropylcarbonyloxypentadecane,,,,4,274,65675,NA,0.76,NA,10.29,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
676,"2-Decanol, methyl ether",,,,4,2140,290724,0.008233,0.85,0.5225,19.39,0,0.000,3,0.013,0.000,0.000,0,0,High,OK,Rare,OK,Low,OK,Inf,OK,FALSE
677,"2-Decanol, propanoate",,,,2,0,0,NA,0.78,NA,14.34,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
678,2-Decanone,decan-2-one,Hexenol,NEXP1,4,18309,422166,0.0017,0.80,0.78,11.43,6,0.128,26,0.108,17.000,0.321,6,0.1276595745,OK,OK,OK,OK,Low,AmRatioFail,0.7,tTestFail,FALSE
679,"2-Decanone, 5,9-dimethyl-",,,,4,102606,4276887,0.0005,0.82,0.89,10.51,3,0.064,10,0.042,3.000,0.057,3,0.06382978723,OK,OK,Rare,OK,OK,AmRatioFail,2.9,tTestFail,FALSE
680,"2-Decen-1-ol, (Z)-",,,,5,1693,168481,0.0017,0.81,0.00,11.22,0,0.000,3,0.013,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
681,"2-Decenal, (E)-",,,,5,139669,4639276,0.0006,0.89,0.01,12.46,10,0.213,48,0.200,18.000,0.340,10,0.2127659574,OK,OK,OK,OK,OK,AmRatioFail,2.1,tTestFail,FALSE
682,"2-Decenal, (Z)-",,,,3,25564,1123981,0.0027,0.83,4.31,11.95,3,0.064,15,0.063,1.000,0.019,3,0.06382978723,OK,OK,Rare,OK,Low,AmRatioFail,2.2,tTestFail,FALSE
683,"2-Decene, (E)-",,,,5,3642,633290,0.0002,0.88,0.00,4.59,0,0.000,2,0.008,1.000,0.019,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
684,"2-Decene, 3-methyl-, (Z)-",,,,4,220,52917,0.0072,0.78,14.64,10.09,0,0.000,1,0.004,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
685,"2-Decene, 7-methyl-, (Z)-",,,,5,156732,4828129,0.0006,0.92,2.30,9.08,1,0.021,12,0.050,3.000,0.057,1,0.02127659574,OK,OK,Rare,OK,OK,OK,48.1,tTestFail,FALSE
686,2-Dimethylsilyloxytetradecane,,,,4,1873,244132,0.0000,0.71,14.67,10.83,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
687,"2-Dodecanol, 2-methyl-",,,,5,410096,13285582,0.0045,0.90,6.37,14.77,19,0.404,90,0.375,20.000,0.377,19,0.4042553191,OK,OK,OK,OK,OK,AmRatioFail,1.4,tTestFail,FALSE
688,2-Dodecanone,,,,4,200120,6702782,0.0024,0.78,4.35,9.89,24,0.511,104,0.433,25.000,0.472,24,0.5106382979,OK,Low,OK,OK,OK,AmRatioFail,2.1,tTestFail,FALSE
689,2-Dodecen-1-yl(-)succinic anhydride,,,,1,23769,2033913,0.001621,0.765,0.4574,19.01,2,0.043,5,0.021,0.000,0.000,2,0.04255319149,High,Low,Rare,OK,Low,AmRatioFail,1.1,tTestFail,FALSE
690,"2-Dodecen-4-yne, (E)-",,,,4,938,194068,0.0000,0.77,0.00,10.70,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
691,2-Dodecenal,,,,4,63024,1671751,0.0040,0.81,2.36,14.85,8,0.170,53,0.221,9.000,0.170,8,0.170212766,OK,OK,OK,OK,Low,AmRatioFail,1.9,tTestFail,FALSE
692,"2-Dodecenal, (E)-",,,,3,6400,436381,0.0011,0.82,2.69,11.95,1,0.021,10,0.042,0.000,0.000,1,0.02127659574,OK,OK,Rare,OK,Low,AmRatioFail,2.6,tTestFail,FALSE
693,2-Dodecenoic acid,,,,4,682,140550,0.0000,0.71,1.19,11.00,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
694,2-Dodecylcyclobutanone,,,,3,18575,2373617,0.001800,0.75,0.0000,21.48,0,0.000,2,0.008,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
695,2-Dodecylcyclohexanone,,,,1,14404,2224210,0.000800,0.75,0.0001,21.49,1,0.021,2,0.008,1.000,0.019,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,0.3,tTestFail,FALSE
696,2-Dodecyloxyethanol acetate (ester),,,,2,0,0,0.0005,0.77,3.16,13.02,2,0.043,0,0.000,0.000,0.000,2,0.04255319149,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
697,2-Ethoxyethyl isobutyrate,,,,4,310,74332,NA,0.72,NA,2.12,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
698,2-Ethoxypentane,,,,5,165,39673,NA,0.81,NA,5.37,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
699,2-Ethyl-1-dodecanol,,,,3,5389,590529,0.0008,0.85,10.52,12.35,1,0.021,4,0.017,1.000,0.019,1,0.02127659574,OK,OK,Rare,OK,Low,AmRatioFail,2.6,tTestFail,FALSE
311,1-Pentanol,3-methylbutan-1-ol,Hexenol,merge,6,11350,775417,0.0027,0.86,0.05,3.74,0,0.000,31,0.129,15.000,0.283,0,0,OK,OK,OK,OK,Low,OK,Inf,OK,TRUE
701,"2-Ethyl-1-hexanol, methyl ether",,,,2,1035,93348,0.0013,0.78,0.00,11.43,2,0.043,3,0.013,0.000,0.000,2,0.04255319149,OK,Low,Rare,OK,Low,AmRatioFail,0.2,tTestFail,FALSE
702,"2-Ethyl-1-hexanol, pentafluoropropionate",,,,2,0,0,NA,0.72,NA,9.70,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
703,"2-Ethyl-1-hexanol, trifluoroacetate",,,,5,969,94042,0.0009,0.80,4.76,9.93,0,0.000,3,0.013,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
704,2-Ethyl-3-vinyloxirane,,,,3,6289,208329,0.0024,0.83,0.40,3.29,3,0.064,13,0.054,4.000,0.075,3,0.06382978723,OK,OK,Rare,OK,Low,AmRatioFail,1.6,tTestFail,FALSE
705,2-Ethyl-4-methylanisole,,,,4,141,33812,NA,0.75,NA,10.50,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
706,2-Ethyl-hexoic acid,,,,5,493,118392,NA,0.85,NA,10.25,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
707,2-Ethyl-oxetane,,,,4,278593,3245876,0.0029,0.95,0.06,2.17,5,0.106,46,0.192,1.000,0.019,5,0.1063829787,OK,OK,OK,OK,Low,AmRatioFail,1.8,tTestFail,FALSE
708,2-Ethylacrolein,,,,3,1138,72725,0.0016,0.84,0.00,2.84,2,0.043,5,0.021,0.000,0.000,2,0.04255319149,OK,OK,Rare,OK,Low,AmRatioFail,0.5,tTestFail,FALSE
709,2-Ethylbutyl acrylate,,,,5,465,111614,NA,0.83,NA,3.05,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
710,2-Ethylbutyl propionate,,,,5,1305,280890,0.0018,0.81,0.00,12.13,0,0.000,2,0.008,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
711,"2-Ethylbutyric acid, 1-phenylpropyl ester",,,,2,740,177498,0.0001,0.72,0.00,9.39,1,0.021,1,0.004,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.2,tTestFail,FALSE
712,"2-Ethylbutyric acid, eicosyl ester",,,,2,830,49556,0.0004,0.74,0.00,9.03,1,0.021,5,0.021,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.9,tTestFail,FALSE
713,"2-Ethylbutyric acid, nonadecyl ester",,,,2,143,34337,0.0002,0.71,0.00,9.03,1,0.021,1,0.004,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.1,tTestFail,FALSE
714,2-Ethylhexyl acrylate,,,,3,4141,309736,0.0005,0.81,0.00,12.00,3,0.064,7,0.029,0.000,0.000,3,0.06382978723,OK,OK,Rare,OK,Low,AmRatioFail,0.6,tTestFail,FALSE
715,2-Ethylhexyl mercaptoacetate,,,,2,0,0,NA,0.71,NA,12.30,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
716,2-Ethylhexyl salicylate,,,,4,205151,4583146,0.003342,0.89,0.2430,19.27,15,0.319,72,0.300,2.000,0.038,15,0.3191489362,High,OK,OK,OK,OK,AmRatioFail,0.7,tTestFail,FALSE
717,2-Ethylhexyl trans-4-methoxycinnamate,,,,4,1011721,7064314,0.004429,0.86,0.1455,22.35,31,0.660,134,0.558,46.000,0.868,31,0.6595744681,High,OK,OK,OK,OK,AmRatioFail,1.0,tTestFail,FALSE
718,2-Ethylnon-1-en-3-ol,,,,1,3195,533569,0.002530,0.79,9.6685,17.85,1,0.021,4,0.017,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,0.6,tTestFail,FALSE
719,"2-Furancarboxylic acid, 2,2-dimethylpropyl ester",,,,2,187,44879,0.0004,0.74,0.00,9.74,2,0.043,1,0.004,3.000,0.057,2,0.04255319149,OK,Low,Rare,OK,Low,AmRatioFail,0.2,tTestFail,FALSE
720,"2-Furancarboxylic acid, hydrazide",,,,4,236,31116,0.0004,0.73,0.00,9.79,0,0.000,2,0.008,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
721,2-Furanmethanol,,,,3,12501,1220842,0.0044,0.85,0.33,5.81,2,0.043,10,0.042,3.000,0.057,2,0.04255319149,OK,OK,Rare,OK,Low,AmRatioFail,3.8,tTestFail,FALSE
722,"2-Furanol, tetrahydro-2,3-dimethyl-, trans-",,,,3,416,99748,NA,0.74,NA,1.96,0,0.000,1,0.004,0.000,0.000,0,0,Low,Low,Rare,OK,Low,OK,Inf,OK,FALSE
723,"2-Furanone, 2,5-dihydro-3,5-dimethyl",,,,3,16555,438420,0.0008,0.76,2.00,10.15,8,0.170,26,0.108,1.000,0.019,8,0.170212766,OK,Low,OK,OK,Low,AmRatioFail,0.7,tTestFail,FALSE
724,2-Heptadecanone,,,,2,79981,3022891,0.002042,0.82,0.0000,19.96,4,0.085,21,0.088,7.000,0.132,4,0.08510638298,High,OK,Rare,OK,Low,AmRatioFail,1.7,tTestFail,FALSE
725,2-Heptadecenal,,,,3,1726,308633,0.001250,0.735,0.1485,18.64,0,0.000,2,0.008,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
726,2-Heptafluorobutyroxydodecane,,,,4,185,44289,NA,0.79,NA,10.29,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
727,2-Heptafluorobutyroxypentadecane,,,,5,860,130884,0.0000,0.80,0.00,10.29,0,0.000,2,0.008,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
728,"2-Heptanol, 2-methyl-",,,,4,643,111037,0.0008,0.75,0.00,8.63,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
729,"2-Heptanol, 5-methyl-",,,,4,2556,309386,0.0014,0.73,9.84,11.94,0,0.000,2,0.008,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
